color_a,color_b,hue_a,hue_b,angular_distance,complementarity_score,charge_alignment,charge_term,resonance_score,energy_differential,coherence_score,state,bond_type,force_type_additive,force_type_subtractive,polarity_a,polarity_b
red,red,0,0,0.0,0.0,1.0,-1.0,0.7225,0.0,-0.1455,dissonant,SELF_RESONANCE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE
red,red-orange,0,30,30.0,0.1667,0.9997,-0.9997,0.6375,0.0878,-0.1141,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red,orange,0,60,60.0,0.3333,0.9982,-0.9982,0.595,0.1193,-0.1998,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red,yellow-orange,0,90,90.0,0.5,0.9942,-0.9942,0.5525,0.1472,-0.0457,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red,yellow,0,120,120.0,0.6667,0.9878,-0.9878,0.612,0.1706,0.0499,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red,yellow-green,0,150,150.0,0.8333,0.7496,-0.7496,0.697,0.1984,0.3312,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red,green,0,180,180.0,1.0,0.4347,-0.4347,0.748,0.2227,0.5192,neutral,COMPLEMENTARY_BOND,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red,blue-green,0,210,150.0,0.8333,0.3779,-0.3779,0.68,0.2352,0.4393,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red,blue,0,240,120.0,0.6667,0.3953,-0.3953,0.646,0.2545,0.2147,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
red,blue-violet,0,270,90.0,0.5,0.5566,-0.5566,0.595,0.2677,0.0829,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
red,violet,0,300,60.0,0.3333,0.7784,-0.7784,0.561,0.2842,-0.0668,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
red,red-violet,0,330,30.0,0.1667,0.9307,-0.9307,0.612,0.3007,-0.1716,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,BALANCED
red-orange,red,30,0,30.0,0.1667,0.9997,-0.9997,0.6375,0.0878,-0.1141,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red-orange,red-orange,30,30,0.0,0.0,1.0,-1.0,0.5625,0.0,-0.1375,dissonant,SELF_RESONANCE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE
red-orange,orange,30,60,30.0,0.1667,0.9998,-0.9998,0.525,0.0325,-0.1332,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red-orange,yellow-orange,30,90,60.0,0.3333,0.9992,-0.9992,0.4875,0.0614,-0.0312,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red-orange,yellow,30,120,90.0,0.5,0.9972,-0.9972,0.54,0.0862,0.0703,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
red-orange,yellow-green,30,150,120.0,0.6667,0.9032,-0.9032,0.615,0.1154,0.1548,dissonant,ANALOGOUS_FIELD,REPULSIVE,AMPLIFYING,POSITIVE,NEGATIVE
red-orange,green,30,180,150.0,0.8333,0.4944,-0.4944,0.66,0.1406,0.4003,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red-orange,blue-green,30,210,180.0,1.0,0.4394,-0.4394,0.6,0.1537,0.4882,neutral,COMPLEMENTARY_BOND,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red-orange,blue,30,240,150.0,0.8333,0.436,-0.436,0.57,0.174,0.3999,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
red-orange,blue-violet,30,270,120.0,0.6667,0.5779,-0.5779,0.525,0.1876,0.1591,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
red-orange,violet,30,300,90.0,0.5,0.7626,-0.7626,0.495,0.2048,-0.0578,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
red-orange,red-violet,30,330,60.0,0.3333,0.9123,-0.9123,0.54,0.2219,-0.1404,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,BALANCED
orange,red,60,0,60.0,0.3333,0.9982,-0.9982,0.595,0.1193,-0.1998,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
orange,red-orange,60,30,30.0,0.1667,0.9998,-0.9998,0.525,0.0325,-0.1332,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
orange,orange,60,60,0.0,0.0,1.0,-1.0,0.49,0.0,-0.1,dissonant,SELF_RESONANCE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE
orange,yellow-orange,60,90,30.0,0.1667,0.9999,-0.9999,0.455,0.0299,-0.0833,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
orange,yellow,60,120,60.0,0.3333,0.9989,-0.9989,0.504,0.0553,0.0006,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
orange,yellow-green,60,150,90.0,0.5,0.9436,-0.9436,0.574,0.0855,0.0321,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,NEGATIVE
orange,green,60,180,120.0,0.6667,0.5836,-0.5836,0.616,0.1114,0.1576,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
orange,blue-green,60,210,150.0,0.8333,0.5035,-0.5035,0.56,0.1252,0.3776,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
orange,blue,60,240,180.0,1.0,0.5003,-0.5003,0.532,0.1463,0.4563,neutral,COMPLEMENTARY_BOND,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
orange,blue-violet,60,270,150.0,0.8333,0.6144,-0.6144,0.49,0.1604,0.3303,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
orange,violet,60,300,120.0,0.6667,0.7779,-0.7779,0.462,0.178,0.1,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
orange,red-violet,60,330,90.0,0.5,0.9149,-0.9149,0.504,0.1958,-0.0745,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,BALANCED
yellow-orange,red,90,0,90.0,0.5,0.9942,-0.9942,0.5525,0.1472,-0.0457,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow-orange,red-orange,90,30,60.0,0.3333,0.9992,-0.9992,0.4875,0.0614,-0.0312,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow-orange,orange,90,60,30.0,0.1667,0.9999,-0.9999,0.455,0.0299,-0.0833,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow-orange,yellow-orange,90,90,0.0,0.0,1.0,-1.0,0.4225,0.0,-0.1225,dissonant,SELF_RESONANCE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE
yellow-orange,yellow,90,120,30.0,0.1667,0.9997,-0.9997,0.468,0.0263,0.0064,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow-orange,yellow-green,90,150,60.0,0.3333,0.9879,-0.9879,0.5330,0.057,0.0604,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,NEGATIVE
yellow-orange,green,90,180,90.0,0.5,0.7088,-0.7088,0.572,0.0837,0.0386,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
yellow-orange,blue-green,90,210,120.0,0.6667,0.5913,-0.5913,0.52,0.0983,0.1551,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
yellow-orange,blue,90,240,150.0,0.8333,0.5661,-0.5661,0.494,0.1199,0.3456,neutral,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
yellow-orange,blue-violet,90,270,180.0,1.0,0.6739,-0.6739,0.455,0.1344,0.3888,neutral,COMPLEMENTARY_BOND,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
yellow-orange,violet,90,300,150.0,0.8333,0.8351,-0.8351,0.429,0.1524,0.2519,dissonant,TRIADIC_EDGE,ATTRACTIVE,EQUILIBRATING,POSITIVE,NEGATIVE
yellow-orange,red-violet,90,330,120.0,0.6667,0.9638,-0.9638,0.468,0.1706,0.0457,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,BALANCED
yellow,red,120,0,120.0,0.6667,0.9878,-0.9878,0.612,0.1706,0.0499,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow,red-orange,120,30,90.0,0.5,0.9972,-0.9972,0.54,0.0862,0.0703,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow,orange,120,60,60.0,0.3333,0.9989,-0.9989,0.504,0.0553,0.0006,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow,yellow-orange,120,90,30.0,0.1667,0.9997,-0.9997,0.468,0.0263,0.0064,dissonant,ANALOGOUS_FIELD,REPULSIVE,REPULSIVE,POSITIVE,POSITIVE
yellow,yellow,120,120,0.0,0.0,1.0,-1.0,0.5184,0.0,-0.1,dissonant,SELF_RESONANCE,NEUTRAL,NEUTRAL,POSITIVE,POSITIVE
yellow,yellow-green,120,150,30.0,0.1667,0.9951,-0.9951,0.5904,0.0339,0.0019,dissonant,ANALOGOUS_FIELD,REPULSIVE,AMPLIFYING,POSITIVE,NEGATIVE
yellow,green,120,180,60.0,0.3333,0.8606,-0.8606,0.6336,0.0612,0.0406,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
yellow,blue-green,120,210,90.0,0.5,0.7342,-0.7342,0.576,0.0768,0.0757,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
yellow,blue,120,240,120.0,0.6667,0.6838,-0.6838,0.5472,0.0996,0.1288,dissonant,ANALOGOUS_FIELD,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE
yellow,blue-violet,120,270,150.0,0.8333,0.7543,-0.7543,0.504,0.1155,0.2912,dissonant,TRIADIC_EDGE,NEUTRAL,EQUILIBRATING,POSITIVE,NEGATIVE
