color_a,color_b,color_c,coh_ab,coh_bc,coh_ca,triadic_coherence,edge_tension,state,polarity_a,polarity_b,polarity_c
red,yellow,blue,0.0499,0.1288,0.2147,0.1311,0.1648,unstable,POSITIVE,POSITIVE,NEGATIVE
orange,green,violet,0.1576,0.0873,0.1,0.1183,0.0703,unstable,POSITIVE,NEGATIVE,NEGATIVE
red-orange,yellow-green,blue-violet,0.1548,0.1124,0.1591,0.1421,0.0467,unstable,POSITIVE,NEGATIVE,NEGATIVE
yellow-orange,blue-green,red-violet,0.1551,0.0999,0.0457,0.1002,0.1094,unstable,POSITIVE,NEGATIVE,BALANCED
red,yellow-green,blue-green,0.3312,0.0384,0.4393,0.2696,0.4009,unstable,POSITIVE,NEGATIVE,NEGATIVE
blue,yellow-orange,red-orange,0.3456,0.0312,0.3999,0.2589,0.3687,unstable,NEGATIVE,POSITIVE,POSITIVE
red,green,blue,0.5192,0.0344,0.2147,0.2561,0.4848,unstable,POSITIVE,NEGATIVE,NEGATIVE
yellow,violet,orange,0.3272,0.1,0.0006,0.1426,0.3266,unstable,POSITIVE,NEGATIVE,POSITIVE
yellow,blue,red,0.1288,0.2147,0.0499,0.1311,0.1648,unstable,POSITIVE,NEGATIVE,POSITIVE
violet,orange,green,0.1,0.1576,0.0873,0.1150,0.0703,unstable,NEGATIVE,POSITIVE,NEGATIVE
